"model","term","estimate","std.error","statistic","p.value"
"M1: Stage only","(Intercept)",1.91692261218206,0.561921106658028,3.41137321497456,0.000930723399957385
"M2: Stage + effect type","(Intercept)",1.91692261218206,0.562079442166505,3.4104122449193,0.00093683981115858
"M3: + country","(Intercept)",2.02753855717051,0.452025807355133,4.48544867168963,0.000021881091677799
"M4: + country + year","(Intercept)",10.4963311298243,46.2668069219363,0.22686525887845,0.821060737747194
"M5: + DCF groups + year","(Intercept)",-32.3431967760622,17.5752212909203,-1.84027252008322,0.0687858034947506
"M3: + country","countryCanada",0.00594382535684191,0.286547834208557,0.0207428730817621,0.983497729172977
"M4: + country + year","countryCanada",-0.0036123883432912,0.292825626308136,-0.0123363121897328,0.990185541890635
"M3: + country","countryColombia",0.0672658316325319,0.361476215312153,0.186086466503597,0.852805242614485
"M4: + country + year","countryColombia",0.11647081185006,0.452074986645935,0.257636045546753,0.797296223065213
"M3: + country","countryEthiopia",0.346026848971172,0.471415790980957,0.734016245512551,0.464890069633691
"M4: + country + year","countryEthiopia",0.3952318291887,0.54493708992398,0.725279736866204,0.47022680336195
"M3: + country","countryIndia",-0.0675610583051688,0.279721447596383,-0.241529775016231,0.809706458268739
"M4: + country + year","countryIndia",-0.02475575634341,0.365780796077886,-0.0676792128205077,0.946196296941116
"M3: + country","countryIran",1.81992589653046,0.30416103043686,5.98342888935029,0.0000000461348326615365
"M4: + country + year","countryIran",1.8517255365686,0.351738321416059,5.26449756487653,0.00000100189867297777
"M3: + country","countryIsrael",-0.0108695168377653,0.304302408968893,-0.0357194570841416,0.971586956654236
"M4: + country + year","countryIsrael",-0.045303628308754,0.359185604280323,-0.126128741711478,0.899921044582717
"M3: + country","countryPhilippines",-0.118047461032471,0.355975340594477,-0.331616962105667,0.740966978670083
"M4: + country + year","countryPhilippines",-0.0720416045985667,0.437368488830376,-0.16471603793685,0.869549600818483
"M3: + country","countrySouth Korea",0.675862460397896,0.296783965432258,2.27728765404668,0.0251930882562326
"M4: + country + year","countrySouth Korea",0.69116854725696,0.309920213599855,2.23014994481562,0.0283112384695203
"M3: + country","countrySpain",0.106234293821813,0.328556991623897,0.323335970714696,0.747207921109485
"M4: + country + year","countrySpain",0.129564585395559,0.354108056585862,0.365889967725552,0.715335365982304
"M3: + country","countryTurkey",-0.110615944988453,0.286769836016018,-0.385730753712444,0.700626995188149
"M4: + country + year","countryTurkey",-0.0647498056353006,0.38201132657386,-0.1694970832829,0.8657991617994
"M3: + country","countryUK",-0.0625346176817344,0.284696307353403,-0.21965377163852,0.826649526104318
"M4: + country + year","countryUK",-0.0443663466446123,0.302990229544064,-0.14642830797341,0.883922048320751
"M3: + country","countryUSA",0.0366762079414945,0.27210429240217,0.134787318559779,0.89308784561467
"M4: + country + year","countryUSA",0.0306471402317299,0.275586225573407,0.111207082893795,0.911708292701416
"M5: + DCF groups + year","dcf_group2OPEX",0.520971593114998,0.510408452605723,1.02069546547544,0.309937705127152
"M5: + DCF groups + year","dcf_group2Other",0.738122638148498,0.111691140825915,6.60860505757533,0.00000000210029973813949
"M2: Stage + effect type","effect_typetime",-0.140198354073836,0.144365291547131,-0.97113615448257,0.333823612559531
"M3: + country","effect_typetime",0.0811023411294738,0.105453013196126,0.769085099338375,0.443902111600953
"M4: + country + year","effect_typetime",0.0792638232930173,0.10651152005296,0.744180753909115,0.458772436666648
"M5: + DCF groups + year","effect_typetime",-0.558040604904927,0.138211904699807,-4.03757263975907,0.000107963687554155
"M1: Stage only","stage_cleanConstruction",-1.5820562213292,0.567006469195672,-2.79019077784673,0.00629836490119226
"M2: Stage + effect type","stage_cleanConstruction",-1.55401655051444,0.567900690797182,-2.73642306779555,0.00735107775787556
"M3: + country","stage_cleanConstruction",-1.84572283414712,0.367568019481752,-5.02144565446545,0.00000265816146861217
"M4: + country + year","stage_cleanConstruction",-1.84494329230964,0.369627807877541,-4.99135414865993,0.00000304917554319002
"M5: + DCF groups + year","stage_cleanConstruction",-0.992820446062642,0.485021492587197,-2.04696175579096,0.0433663466295716
"M1: Stage only","stage_cleanDesign",-1.67374598363291,0.569079625907805,-2.94114550483674,0.00405487929039394
"M2: Stage + effect type","stage_cleanDesign",-1.64498734689982,0.570009742186669,-2.88589338945213,0.00478206289468181
"M3: + country","stage_cleanDesign",-1.98181681480993,0.375299025448318,-5.28063405558415,0.00000091984163333047
"M4: + country + year","stage_cleanDesign",-1.97969197642333,0.37755557132242,-5.24344527479569,0.00000109270995384429
"M5: + DCF groups + year","stage_cleanDesign",-1.06834408670975,0.48907995820474,-2.18439555493403,0.0313428808557703
"M1: Stage only","stage_cleanOperation",-1.82720394074547,0.589347828636503,-3.10038291813652,0.00250483550643932
"M2: Stage + effect type","stage_cleanOperation",-1.82720394074547,0.589513892318774,-3.09950955279172,0.00251772309493441
"M3: + country","stage_cleanOperation",-2.03709316952047,0.399029414484825,-5.10512031337465,0.00000189236416859916
"M4: + country + year","stage_cleanOperation",-2.04043201038485,0.401653244254901,-5.08008347889736,0.0000021306233298362
"M5: + DCF groups + year","stage_cleanOperation",-1.58045037556085,0.666024084989802,-2.37296279696108,0.019618072875622
"M4: + country + year","year",-0.00420476973432444,0.0229704387870078,-0.183051345832483,0.855183646257158
"M5: + DCF groups + year","year",0.0165540724691831,0.00866994277934282,1.90936352067111,0.0591704198519935
